id,hip,hd,hr,gl,bf,proper,ra,dec,dist,mag,absmag,spect,ci,bayer,flam,con,lum
8795,8814,11428,543,,,,1.888152,40.72979,193.4236,5.42,-1.013,K1III,1.311,,55,And,221.4114112091
8813,8832,11502,546,,Gam 2 Ari,,1.89217,19.293852,50.3018,3.88,0.372,A1p Si,-0.047,Gam-2,5,Ari,61.8301072752
8814,8833,11559,549,,Xi  Psc,,1.892597,3.187536,54.9149,4.61,0.912,K0III SB,0.928,Xi,111,Psc,37.6010523668
8818,8837,11695,555,,Psi Phe,,1.894102,-46.302669,104.8218,4.39,-0.712,M4III SB,1.597,Psi,,Phe,167.8031078291
8863,8882,11753,558,,Phi Phe,,1.906122,-42.49695,94.0734,5.12,0.253,A3V,-0.06,Phi,,Phe,68.9922009844
8867,8886,11415,542,,Eps Cas,,1.906584,63.670101,126.2626,3.35,-2.156,B2pvar,-0.15,Eps,45,Cas,634.4537957757
8884,8903,11636,553,Gl 80,Bet Ari,Sheratan,1.910668,20.808035,17.9856,2.64,1.365,A5V...,0.165,Bet,6,Ari,24.7742205763
8909,8928,11977,570,,Eta 2 Hyi,,1.915572,-67.647303,67.0691,4.68,0.547,G5III,0.931,Eta-2,,Hyi,52.625956208
8974,8993,11763,559,,,,1.930844,23.577322,170.9402,5.76,-0.404,K1III,1.185,,7,Ari,126.3572018523
8982,9001,11727,556,,,,1.9318,37.277786,282.4859,5.89,-1.365,K5III,1.599,,,And,306.1963433691
8989,9007,11937,566,Gl 81A,Chi Eri,,1.932564,-51.608896,17.8508,3.69,2.432,G5IV,0.844,Chi,,Eri,9.2725674258
8990,9009,11529,548,,Ome Cas,,1.933337,68.685242,215.0538,4.97,-1.693,B8III,-0.084,Ome,46,Cas,414.1903726221
9002,9021,11749,557,,,,1.935927,37.25183,96.9932,5.69,0.756,G8III...,1.06,,56,And,43.4110209707
9042,9061,11930,565,,,,1.944499,-22.526785,108.2251,4.92,-0.252,K3III,1.434,,56,Cet,109.8499845058
9076,9095,12055,574,,,,1.952792,-47.385277,76.1035,4.82,0.413,G8III,0.864,,,Phe,59.5387894128
9091,9110,11909,563,,Iot Ari,,1.955848,17.817532,159.4896,5.09,-0.924,K1p...,0.921,Iot,8,Ari,203.9858300269
9113,9132,11928,564,,,,1.962151,27.804381,140.2525,5.84,0.105,M2III,1.576,,,Tri,79.0678628
9135,9153,11973,569,,Lam Ari,,1.965478,23.596061,39.4945,4.79,1.807,F0V,0.29,Lam,9,Ari,16.4892157315
9203,9222,11949,568,,,,1.975973,49.204352,75.0188,5.7,1.324,K0IV,1.005,,3,Per,25.7276429535
9217,9236,12311,591,Gl 83,Alp Hyi,,1.979451,-61.569859,22.0119,2.86,1.147,F0V,0.29,Alp,,Hyi,30.2830769427
9288,9307,12139,577,,,,1.993244,21.05857,119.9041,5.89,0.496,K0III-IV,1.031,,,Ari,55.1569191261
9293,9312,11946,567,,,,1.993892,64.621602,75.3012,5.29,0.906,A0Vn,0.002,,,Cas,37.8094186683
9294,9313,12296,588,,,,1.994118,-42.030532,89.9281,5.57,0.801,K1III,1.052,,,Phe,41.6485609341
9307,9326,12255,583,,,,1.996166,-20.824539,180.5054,5.43,-0.852,M0/M1III,1.64,,57,Cet,190.8973941124
9328,9347,12274,585,,Ups Cet,,2.000084,-21.077831,89.7666,3.99,-0.776,K5/M0III,1.554,Ups,59,Cet,177.9918020395
9334,9353,12235,582,,,,2.002544,3.097015,33.5008,5.89,3.265,G2IV,0.61,,112,Psc,4.3052661049
9353,9372,12292,587,,,,2.007451,-8.523873,145.9854,5.43,-0.392,M3III,1.391,,,Cet,124.9683397211
9420,9440,12438,594,,Pi  For,,2.020759,-30.00183,90.2527,5.34,0.563,G8III,0.883,Pi,,For,51.8561177686
9439,9459,12524,602,,Chi Phe,,2.02844,-44.713509,115.0748,5.15,-0.155,K5III,1.471,Chi,,Phe,100.4615790278
9460,9480,12111,575,,,,2.032644,70.90702,35.2609,4.49,1.754,A3IV,0.164,,48,Cas,17.3141031289
9467,9487,12446,595,,Alp Psc,,2.034117,2.763759,46.1681,3.82,0.498,A2,0.024,Alp,113,Psc,55.0554098485
9485,9505,12303,590,,,,2.038359,54.487541,223.2143,4.99,-1.754,B8III,-0.071,,4,Per,438.1269820225
9513,9533,12479,601,,,,2.043077,13.476716,206.1856,5.97,-0.601,M2III,1.584,,,Ari,151.495593204
9550,9570,12471,599,,Eps Tri,,2.049433,33.284135,120.048,5.5,0.103,A2V,0.029,Eps,3,Tri,79.2136454153
9552,9572,12583,608,,,,2.049602,-15.305932,109.8901,5.87,0.665,K0II/III,0.966,,,Cet,47.2063041264
9553,9573,12301,589,,,,2.050052,64.390018,537.6344,5.59,-3.062,B8Ib,0.325,,53,Cas,1461.5039720062
9568,9589,12573,607,,,,2.053236,0.128507,86.1326,5.42,0.744,A5III,0.146,,60,Cet,43.8934785535
9577,9598,12216,580,,,,2.057268,72.421294,48.1696,3.95,0.536,A2V,-0.002,,50,Cas,53.1618395074
9600,9621,12558,605,,,,2.060927,25.935471,48.7092,5.64,2.202,F8IV,0.537,,10,Ari,11.4604059114
9601,9622,12642,611,,,,2.061247,-4.103516,166.113,5.61,-0.492,K5Iab:,1.589,,,Cet,137.0250597124
9609,9631,12641,610,,,,2.063381,-0.340251,110.9878,5.96,0.734,G5V...,0.851,,61,Cet,44.29961991
9618,9640,12533,603,,Gam 1 And,Almaak,2.064984,42.329725,120.4819,2.1,-3.305,B8V,1.37,Gam-1,57,And,1828.1002161428
9655,9677,12767,612,,Nu  For,,2.074844,-29.296819,113.7656,4.68,-0.6,B9.5p (Si),-0.156,Nu,,For,151.3561248436
9706,9727,12230,581,,,,2.085315,77.281341,33.1565,5.27,2.667,F0Vn,0.345,,47,Cas,7.4679258993
9741,9763,12339,592,,,,2.092103,76.11506,122.6994,5.22,-0.224,G8III,0.954,,49,Cas,107.0532853833
